"word","results","seed","hansardcount","valence","manualflag"
"muttley",0.735639405508291,0,12,"Anger",1
"dishonestly",0.735585115061481,0,173,"Anger",0
"normann",0.735169912833754,0,16,"Anger",1
"arius",0.735101080395198,0,2,"Anger",1
"imprisoning",0.734924768390921,0,109,"Anger",0
"entendre",0.734858937878239,0,2,"Anger",1
"marchant",0.734801410741873,0,8,"Anger",1
"disavow",0.73459908341455,0,67,"Anger",0
"oppressing",0.734434966142245,0,51,"Anger",0
"proselytizing",0.73434653798718,0,1,"Anger",0
"derisively",0.734080281847971,0,9,"Anger",0
"teasingly",0.733928997652585,0,8,"Anger",0
"favata",0.733695924086094,0,6,"Anger",1
"sinned",0.732817147539144,0,19,"Anger",0
"ranting",0.732524201911346,0,128,"Anger",0
"insults",0.732217898675115,0,338,"Anger",0
"intemperance",0.732203199865531,0,1,"Anger",0
"hysterically",0.731892499929115,0,23,"Anger",0
"homophobe",0.731876879941843,0,4,"Anger",0
"rebutting",0.731544364818519,0,71,"Anger",0
"blatantly",0.731199140863964,0,458,"Anger",0
"misogynist",0.730871671291935,0,16,"Anger",0
"broadsides",0.73073196875985,0,7,"Anger",0
"roz",0.730726804485273,0,5,"Anger",1
"disputations",0.730550117077383,0,3,"Anger",0
"sycophants",0.730198087129559,0,11,"Anger",0
"acquitting",0.730107866453301,0,15,"Anger",0
"plagiarising",0.729631383936901,0,15,"Anger",0
"moxon",0.729250472445594,0,59,"Anger",1
"diatribe",0.728597067072386,0,183,"Anger",0
"hereinafter",0.727948160899609,0,13,"Anger",0
"disgracing",0.727113291171567,0,3,"Anger",0
"impersonated",0.727050681640281,0,13,"Anger",0
"rabble",0.726985487166718,0,76,"Anger",0
"disparaging",0.726428940108816,0,310,"Anger",0
"berates",0.726420835654839,0,12,"Anger",0
"tartaglia",0.725811007582791,0,1,"Anger",1
"bellone",0.725675799454473,0,1,"Anger",1
"scapegoating",0.725518009958478,0,79,"Anger",0
"invective",0.725377966037305,0,61,"Anger",0
"accusation",0.725339581221191,0,1698,"Anger",0
"schemed",0.724861099270925,0,6,"Anger",0
"sadak",0.724621541511512,0,3,"Anger",1
"bladed",0.723875760388476,0,121,"Anger",0
"gyp",0.723755219512292,0,2,"Anger",0
"tobaccos",0.723323252256859,0,7,"Anger",1
"fingered",0.723039363262154,0,57,"Anger",0
"bristles",0.722481069294043,0,4,"Anger",0
"conspiratorial",0.722217931442283,0,48,"Anger",0
"mclintock",0.72211421591086,0,23,"Anger",1
"skewered",0.721052741362691,0,14,"Anger",0
"mispronouncing",0.720435705757047,0,4,"Anger",0
"impersonating",0.720402331769499,0,23,"Anger",0
"sophistry",0.720193573779978,0,156,"Anger",0
"probert",0.719704141590283,0,6,"Anger",1
"detested",0.719327614910928,0,60,"Anger",0
"lorded",0.718920742233826,0,4,"Anger",0
"criminalised",0.718503910539317,0,369,"Anger",0
"caol",0.71747820843148,0,3,"Anger",1
"yn",0.717360419935048,0,170,"Anger",1
"leering",0.717194840631733,0,5,"Anger",0
"mocked",0.71652068611773,0,188,"Anger",0
"adamantly",0.716317442594993,0,98,"Anger",0
"taunting",0.716159167483151,0,41,"Anger",0
"rebuking",0.716092411787427,0,11,"Anger",0
"incoherently",0.71604663910628,0,15,"Anger",0
"perfunctorily",0.716002237531002,0,12,"Anger",0
"torturing",0.715790753587938,0,76,"Anger",0
"zawiya",0.715272515097675,0,14,"Anger",1
"retaliating",0.715237796325324,0,9,"Anger",0
"treasonable",0.715204200859208,0,22,"Anger",0
"indulges",0.714598959558858,0,52,"Anger",0
"slings",0.714385623222437,0,31,"Anger",0
"fahy",0.714114291342428,0,40,"Anger",1
"viciously",0.714069700682694,0,129,"Anger",0
"ruffian",0.714052867487756,0,2,"Anger",0
"capstick",0.713920545474068,0,8,"Anger",0
"calon",0.713580338493436,0,3,"Anger",0
"episcopi",0.712660202344174,0,15,"Anger",1
"traitor",0.711960028915743,0,40,"Anger",0
"hecklers",0.711101188450644,0,13,"Anger",0
"pitied",0.711032816386619,0,8,"Anger",0
"jabbed",0.710445371054915,0,57,"Anger",0
"cockerham",0.710361626644964,0,2,"Anger",1
"vindictiveness",0.710215142724834,0,77,"Anger",0
"interjections",0.709992802301904,0,28,"Anger",0
"rj",0.709881543522707,0,8,"Anger",1
"hailey",0.709538899250276,0,3,"Anger",1
"civilly",0.709537621102745,0,12,"Anger",0
"procures",0.709270695063224,0,31,"Anger",0
"scanlon",0.709261000742256,0,12,"Anger",1
"beadle",0.70907925927922,0,12,"Anger",1
"legalism",0.708557310390489,0,21,"Anger",0
"stovepipe",0.708491160712365,0,7,"Anger",0
"orden",0.708423869455841,0,4,"Anger",1
"askarov",0.708410854981401,0,1,"Anger",1
"gelli",0.707469836209805,0,5,"Anger",1
"obscenities",0.707206909554369,0,35,"Anger",0
"gladius",0.70672952703157,0,1,"Anger",1
"playfully",0.706617947935444,0,2,"Anger",0
"molesting",0.706103206057947,0,19,"Anger",0
"untruthful",0.705706728794571,0,55,"Anger",0
"gibes",0.705646520075622,0,17,"Anger",0
"immorality",0.705451677342913,0,81,"Anger",0
"insubordination",0.705226172007014,0,15,"Anger",0
"abhorred",0.705178867083754,0,32,"Anger",0
"rhc",0.704832738848253,0,1,"Anger",1
"overtly",0.704784243082112,0,231,"Anger",0
"sargant",0.704741161021413,0,5,"Anger",1
"derides",0.70465540906279,0,26,"Anger",0
"incited",0.704433938023014,0,106,"Anger",0
"disparagingly",0.704280037780302,0,78,"Anger",0
"innuendoes",0.704058802123556,0,16,"Anger",0
"indecently",0.703904166486178,0,21,"Anger",0
"exalting",0.703893014160131,0,6,"Anger",0
"rawat",0.703843733455748,0,1,"Anger",1
"complainant",0.703813750109035,0,619,"Anger",0
"corbin",0.703666835462157,0,7,"Anger",1
"snipes",0.703324487735939,0,3,"Anger",0
"dhari",0.702851381820782,0,1,"Anger",1
"ordaining",0.702839842674835,0,9,"Anger",0
"lewd",0.702278833554264,0,15,"Anger",0
"beretta",0.702189346895759,0,3,"Anger",1
"prefaced",0.701893569643561,0,130,"Anger",0
"malaprop",0.701880421333582,0,2,"Anger",0
"trilled",0.701422827028515,0,1,"Anger",0
"despises",0.701293679307465,0,26,"Anger",0
"intimidates",0.701134686746165,0,34,"Anger",0
"cudgels",0.700634270527119,0,74,"Anger",0
"mtetwa",0.700445219267042,0,2,"Anger",1
"arrant",0.699906197927072,0,99,"Anger",0
"scientologist",0.699847184995156,0,2,"Anger",1
"melodie",0.699181588833333,0,2,"Anger",1
"mendacious",0.699148268400261,0,48,"Anger",0
"denigrates",0.698947800573966,0,55,"Anger",0
